date,open,close,high,low,volume,gdp_growth_pct,inflation_rate_pct,unemployment_rate_pct,interest_rate_pct,consumer_confidence,govt_debt_bln,corp_profits_bln,forex_usd_eur,forex_usd_jpy,crude_oil_price,gold_price,real_estate_index,retail_sales_bln,bankruptcy_rate_pct,ma_deals,vc_funding_bln,consumer_spending_bln,daily_volatility_pct
2000-04-02,4857.91,4813.18,4880.08,4773.450000000001,693648470,-4.34,8.17,5.99,7.38,90,12022,3711,0.95,85.88,81.36,1939.87,333.85,836,8.7,0,45.19,4135,2.1949768521853885
2000-04-04,3093.32,3055.1200000000003,3142.1200000000003,3038.5000000000005,83889149,3.25,4.61,13.24,8.06,97,28001,1440,1.37,138.21,31.71,940.38,266.8,5625,0.81,31,98.57,9440,3.349798921547072
2000-04-05,2148.55,2103.07,2175.17,2079.54,773567918,-3.83,8.25,12.12,4.76,65,27298,3945,0.93,124.07,119.08,2139.18,159.33,5933,9.13,20,9.05,6551,4.450908752414424
2000-04-06,4171.42,4165.21,4216.6900000000005,4149.4800000000005,659985095,9.15,7.0,7.12,1.65,80,28514,1618,1.15,99.54,82.78,2202.65,233.05,7625,1.18,43,11.48,13609,1.6112019408259066
2000-04-08,3538.33,3514.57,3547.88,3473.26,578281956,7.82,8.11,2.61,3.02,81,11814,810,1.06,89.5,99.43,1075.76,342.41,4884,8.57,26,40.62,7782,2.1089044831883936
2000-04-09,4191.66,4183.83,4213.7,4147.26,346079543,-5.0,0.77,12.17,4.15,59,8798,4670,1.4,125.17,33.26,1967.02,128.66,8135,4.72,35,74.4,11252,1.5850522227470645
2000-04-13,1631.82,1638.91,1658.35,1593.49,858221766,0.43,2.51,7.85,5.66,52,8456,2322,1.27,112.75,138.83,2346.68,384.01,6894,10.0,28,27.68,12595,3.974703092252816
2000-04-16,2267.05,2227.71,2297.27,2222.51,418511556,-3.94,7.99,6.31,3.27,104,2294,1797,1.23,114.98,71.94,1595.66,216.57,5797,0.44,34,69.98,238,3.2976775986413958
2000-04-18,4624.57,4584.52,4649.31,4557.9,925614420,-3.93,8.07,11.99,4.34,104,1416,3889,1.4,96.89,93.38,2185.77,414.12,4211,3.69,42,26.33,7576,1.976616204317391
2000-04-22,1808.06,1844.57,1859.83,1797.59,631074167,5.85,0.94,13.83,8.58,64,14940,3265,1.04,84.56,142.65,1698.57,274.24,8219,5.17,16,32.41,9358,3.4423636383748333
2000-04-24,4575.96,4596.05,4629.22,4554.28,89001141,-1.74,5.04,2.59,2.19,101,16369,4709,1.39,110.25,147.53,1191.19,108.79,618,2.7,10,78.02,11228,1.6376891406393523
2000-04-26,1608.42,1621.5,1635.52,1564.59,928499057,6.76,8.62,14.86,0.91,103,7844,2801,1.34,109.38,25.01,923.69,202.51,3951,2.13,30,57.32,11171,4.409917807537836
2000-04-30,4529.67,4507.86,4556.16,4485.889999999999,961746099,0.45,8.89,7.98,1.58,118,4150,4075,1.43,138.4,32.48,1659.63,109.33,9325,5.87,10,14.04,13086,1.5513271386215868
2000-05-05,4936.44,4977.719999999999,4991.879999999999,4935.53,215374897,1.06,5.03,2.35,3.23,63,16440,3646,1.22,101.5,142.32,2217.76,287.8,1087,3.36,41,7.67,5132,1.1415108863877503
2000-05-07,3538.69,3543.33,3549.68,3496.91,781941002,8.77,6.63,7.15,1.72,110,23198,3606,1.45,146.08,130.06,1555.51,207.56,7595,8.74,5,52.04,10250,1.4912298053799564
2000-05-11,1648.93,1654.85,1693.7700000000002,1610.15,905715957,4.61,0.04,5.79,0.89,75,1887,1561,1.38,103.46,67.66,1774.08,180.14,178,3.27,6,36.3,14629,5.0711673630778815
2000-05-12,1050.43,1051.9,1082.3300000000002,1036.02,120588703,-4.09,3.64,7.73,7.75,76,27942,2271,1.18,127.39,147.43,1336.61,466.27,1918,2.19,36,81.74,6324,4.408670734841938
2000-05-19,1749.65,1767.96,1794.91,1715.24,779928276,8.64,7.72,6.78,7.37,52,20993,800,1.11,119.52,34.01,2339.23,464.43,4531,0.41,6,68.46,9685,4.553482124996432
2000-05-24,2257.4,2284.03,2302.73,2218.83,345509363,-4.76,6.6,6.74,9.16,58,5585,2426,1.22,93.08,44.48,2285.8,338.64,5116,3.63,5,48.62,6122,3.7166651900416445
2000-05-28,2431.19,2471.11,2517.1600000000003,2413.85,572500435,-4.04,3.32,6.62,4.43,106,21915,1710,1.32,130.58,41.38,928.1,107.71,7771,8.44,2,46.86,8809,4.249359367223475
2000-05-29,2976.85,2989.2,3005.25,2933.73,327327506,-2.96,8.84,9.75,7.28,59,27494,587,1.17,90.14,50.33,1735.99,418.01,9125,1.79,10,34.42,8255,2.4025395972252546
2000-05-31,2340.83,2321.8,2367.54,2320.68,271503507,4.48,6.26,14.97,2.23,111,16757,4423,0.89,118.0,27.47,2097.21,313.67,1028,7.34,24,74.52,12768,2.00185404322399
2000-06-03,4303.91,4329.95,4377.099999999999,4283.13,553485440,-1.24,8.44,8.43,9.82,96,11869,898,1.21,112.01,20.63,2064.26,226.32,9635,3.36,3,70.14,13810,2.1833634997014193
2000-06-06,1567.89,1536.2900000000002,1603.49,1489.14,955154926,-1.6,7.49,11.2,5.4,62,18921,3340,1.49,149.1,102.28,1653.09,148.94,297,3.39,33,94.82,14869,7.293241235035615
2000-06-07,2391.77,2417.42,2436.67,2382.79,946599186,8.47,5.72,7.84,1.93,56,29429,3455,1.18,146.34,85.23,1831.95,117.52,9148,2.86,26,35.41,13227,2.25272496937415
2000-06-14,2885.15,2849.9500000000003,2903.9700000000003,2833.5000000000005,323231884,-3.52,4.73,6.61,6.48,88,22363,2245,1.19,112.97,100.9,1860.46,341.38,1847,4.32,48,57.06,9566,2.44250732197632
2000-06-16,3536.57,3507.48,3539.1800000000003,3504.4,469963180,-1.21,1.0,14.96,6.83,85,25188,4778,0.83,140.52,27.0,1649.92,370.88,5065,5.35,12,70.94,7562,0.9834387556304611
2000-06-17,1505.06,1468.1,1539.34,1457.66,86383568,0.88,7.43,14.29,2.4,55,8474,3672,1.45,135.81,56.21,1096.49,424.44,9859,8.68,44,79.02,6813,5.427026165069821
2000-06-24,1908.72,1903.3,1940.62,1856.28,223070224,6.98,5.95,10.7,2.89,106,26777,4337,1.21,110.24,144.05,803.01,475.17,203,2.3,8,13.38,1896,4.418668007879622
2000-06-27,3571.53,3530.2000000000003,3608.06,3481.3500000000004,941175727,7.17,9.68,12.87,4.97,55,27906,3543,1.3,135.12,68.97,2054.58,296.93,4303,2.95,36,75.76,13440,3.547779243069485
2000-06-28,3776.6,3780.44,3782.46,3744.49,543647207,-2.64,1.15,13.75,7.23,51,27719,4289,1.43,114.64,82.76,1642.56,463.89,3631,3.1,29,45.02,13134,1.0054016840544473
2000-06-29,3050.62,3091.94,3096.68,3049.08,836833323,-1.84,5.81,9.01,4.45,66,28956,860,0.92,106.11,24.38,820.56,370.7,3975,4.02,38,24.13,762,1.5603385541299772
2000-07-02,1132.76,1096.13,1136.21,1056.35,270303051,-3.02,8.74,11.13,6.86,103,16525,2839,1.2,143.26,77.9,1882.4,162.42,7179,7.66,5,56.64,8786,7.050037077580434
2000-07-03,2215.79,2259.33,2309.12,2186.6,868362188,-3.17,9.78,7.38,8.71,56,13865,2117,1.04,116.31,50.71,891.61,236.78,7209,3.95,11,22.33,13544,5.529404862374141
2000-07-04,3612.65,3637.79,3652.23,3579.08,965689215,2.41,5.12,9.78,5.33,81,4281,1016,1.13,144.49,44.11,2379.15,394.47,8499,8.32,1,32.48,4075,2.0248294188476628
2000-07-09,3659.94,3637.5,3678.18,3605.5,671161793,-3.32,8.18,3.35,7.9,102,9724,826,1.09,123.59,120.58,1490.34,316.35,4376,1.55,30,85.02,1831,1.9858249042333982
2000-07-11,4628.78,4648.86,4668.61,4621.11,516095436,7.32,2.56,6.08,2.96,55,21206,1709,0.97,125.38,85.02,1646.37,218.73,740,4.06,37,76.1,3001,1.0261883260816027
2000-07-12,3682.93,3709.46,3726.21,3672.59,331385665,8.29,0.56,3.92,3.87,87,27681,4848,1.24,115.56,110.33,803.48,287.15,1922,6.56,15,17.9,4527,1.4559060313391754
2000-07-18,3186.59,3175.31,3215.4500000000003,3150.91,967242243,0.59,4.92,9.9,8.9,52,23452,1590,1.3,117.9,26.19,1692.16,312.48,8762,4.6,4,99.28,510,2.025362534872714
2000-07-19,2521.6,2499.88,2524.89,2452.82,201601989,5.2,0.85,9.39,8.61,118,18359,4637,1.09,91.0,50.03,911.92,486.58,5899,4.28,39,61.81,10552,2.858105964466994
2000-07-21,1442.88,1491.17,1511.54,1423.4,270595396,9.03,1.26,9.74,3.09,67,2907,1672,1.33,146.86,40.62,1036.06,170.79,6237,3.11,0,44.06,7769,6.108616101131062
2000-07-27,4433.37,4426.82,4436.3,4415.4,227390164,3.62,8.99,2.83,3.37,67,5915,4988,0.97,120.23,36.0,2448.44,190.94,5104,5.7,41,92.81,5968,0.4714246724275336
2000-07-28,2168.87,2205.82,2221.09,2167.63,342220731,-3.75,6.77,5.85,6.78,76,2745,4885,1.11,147.61,33.88,2042.37,162.34,2700,8.46,34,39.01,3036,2.46487802404017
2000-07-29,4643.08,4611.15,4650.96,4591.96,442221147,-0.9,6.18,6.18,3.53,91,22573,4672,1.0,134.99,95.93,1071.5,387.34,9034,0.44,33,42.7,13864,1.2707082367738658
2000-07-30,4015.85,4060.62,4069.32,4008.77,739835604,-0.53,7.06,8.8,4.6,115,27713,4880,0.95,130.62,26.33,1757.39,158.92,5882,5.07,38,97.52,6882,1.507775439819719
2000-08-01,1072.03,1054.65,1072.82,1021.59,456383319,-1.13,8.78,11.74,9.93,72,7072,1243,0.82,122.34,62.75,1672.89,151.26,2130,0.04,24,85.15,4929,4.778784175815966
2000-08-06,2126.08,2150.32,2165.99,2092.68,316539794,-3.09,8.8,15.0,7.84,51,7985,847,1.21,112.94,65.23,1882.94,256.15,3364,5.07,8,88.44,583,3.448129891631545
2000-08-07,4491.02,4463.85,4505.780000000001,4442.38,437059637,7.04,5.41,12.11,7.16,92,20167,3589,1.13,88.95,65.72,890.96,197.84,1834,1.52,32,51.2,7014,1.41170602669328
2000-08-08,1450.32,1406.1699999999998,1486.99,1384.11,307758473,3.48,9.06,14.67,1.82,71,18180,2733,1.33,81.64,80.83,1090.58,170.92,5043,0.42,7,95.37,7063,7.093606928126214
2000-08-12,1967.58,1953.06,2012.47,1907.3,136440193,8.38,2.5,8.35,8.98,118,25435,1245,1.28,135.92,79.27,2035.12,413.91,2226,6.91,33,21.79,706,5.345144797162
2000-08-19,3972.77,3989.24,3999.39,3932.97,67507182,5.83,7.76,7.47,8.65,54,24071,745,1.13,127.73,131.18,2322.37,341.85,7778,4.59,47,54.04,8726,1.6718813321687405
2000-08-22,4409.06,4400.13,4438.580000000001,4368.74,747253334,1.66,6.86,8.88,3.17,86,9194,1213,0.99,133.94,116.36,1757.13,421.45,2931,6.56,17,66.23,1917,1.5840111044077658
2000-08-28,1958.04,1944.87,1965.67,1930.9,490462992,-0.63,7.83,13.65,2.82,118,28455,4692,0.8,125.84,81.94,1822.15,202.21,3478,7.79,31,66.52,9800,1.7757553471839178
2000-08-29,4178.31,4226.21,4261.72,4166.76,929870670,7.76,1.61,3.81,8.24,100,20696,4654,0.85,94.82,57.52,844.03,411.18,3924,1.42,12,50.65,4880,2.272689197307046
2000-09-01,4981.75,5022.74,5043.33,4960.46,26841045,2.42,4.29,3.46,6.53,114,1285,1512,1.04,112.54,121.75,1706.41,298.39,2110,9.83,9,15.92,6965,1.6634716716013427
2000-09-10,3676.8,3696.52,3697.05,3631.95,508829100,8.12,0.93,8.12,2.57,52,15220,4112,1.27,140.66,37.55,1109.14,454.04,7488,1.39,32,81.01,7593,1.7705613577023598
2000-09-11,4317.15,4275.469999999999,4348.29,4230.379999999999,253732253,0.13,4.37,4.37,9.87,96,6756,1824,1.15,81.56,127.48,1486.17,408.62,6850,3.99,21,27.99,2987,2.7311999814692745
2000-09-14,3069.79,3026.67,3082.38,3025.4300000000003,651613341,4.77,6.99,8.09,1.35,110,27414,1041,1.15,96.66,20.96,920.99,189.35,5891,3.69,29,69.34,4738,1.8551757612084157
2000-09-16,2267.79,2259.51,2298.48,2214.72,35255909,1.89,8.88,8.09,1.05,105,22966,1913,1.1,130.46,66.12,2479.41,459.57,2500,9.59,43,42.84,14710,3.6934636804995273
2000-09-17,2738.38,2776.15,2815.83,2724.65,803391029,8.61,9.09,3.06,4.03,119,8982,3161,0.8,124.65,113.48,1570.51,351.45,7617,7.51,18,52.1,2218,3.329705884501049
2000-09-26,1949.73,1985.52,2016.09,1903.1,964898980,6.25,8.37,3.89,7.82,104,3839,1822,1.42,85.12,105.54,1808.76,354.42,7746,2.29,13,2.82,11772,5.795161381319465
2000-09-27,3049.46,3029.95,3084.26,3016.73,942649882,-1.93,7.17,7.67,1.51,95,19673,4543,0.81,103.62,142.91,1636.74,462.25,1375,7.14,3,7.13,9368,2.214490434371994
2000-09-29,2538.05,2500.96,2543.4500000000003,2496.46,49638538,0.24,7.34,11.1,0.58,86,28266,1186,1.1,114.65,23.44,976.07,413.57,9361,7.53,9,28.75,1091,1.8514213667973536
2000-10-01,3608.9,3636.9,3666.35,3603.21,586610749,9.01,0.93,4.35,6.13,74,27568,3212,1.39,143.48,142.82,1032.99,448.75,1666,1.05,14,64.08,7911,1.7495635789298642
2000-10-02,4802.12,4799.28,4828.15,4792.34,389281039,-4.44,3.06,14.37,7.34,78,6048,1114,0.93,99.96,66.62,1289.51,189.16,7480,7.55,30,22.15,8849,0.7457123103962311
2000-10-05,3025.06,3008.33,3046.18,2978.12,168322548,3.82,5.42,13.15,6.15,61,29477,3905,1.18,130.27,44.68,1957.72,136.8,9207,3.08,10,5.99,9447,2.2498727297970933
2000-10-06,3536.42,3580.41,3600.31,3495.58,958356686,-0.85,3.01,10.58,1.75,54,19546,1226,1.24,87.76,38.89,2060.9,296.65,5532,3.59,47,91.71,8933,2.961469508712201
2000-10-11,1182.59,1221.6999999999998,1238.1699999999998,1182.1799999999998,599679326,-3.93,4.77,3.14,0.83,78,9162,515,0.88,98.27,54.24,1532.96,379.97,6088,8.58,28,10.08,13757,4.734523376656323
2000-10-13,2107.26,2128.23,2170.59,2097.2700000000004,528736760,-1.51,4.91,4.8,7.4,90,19910,4212,0.99,104.59,47.79,1469.04,403.98,5756,1.06,20,7.46,8076,3.4793997892998347
2000-10-18,3443.12,3421.3,3491.59,3391.92,29357507,9.01,8.21,6.16,9.96,57,13520,3230,0.94,123.56,44.39,1888.4,313.32,6557,6.77,21,52.51,4141,2.894758242524224
2000-10-20,1827.97,1781.91,1831.52,1754.22,355289598,-1.93,5.13,6.45,5.13,58,4971,3286,0.83,101.34,98.0,1352.29,394.88,693,8.25,19,92.53,3285,4.228734607241911
2000-10-21,3066.29,3018.47,3075.76,2981.93,389662344,-1.31,2.5,12.36,2.75,72,28861,571,0.88,148.89,93.7,2066.5,382.38,2170,2.02,47,50.17,518,3.0600497669822615
2000-10-28,4210.34,4238.6900000000005,4278.1,4188.7,67206738,-1.06,3.54,11.51,6.37,54,6503,600,0.91,100.44,41.56,2294.81,225.99,1334,2.7,19,30.62,9931,2.123343957970153
2000-10-29,3288.19,3239.24,3301.14,3229.36,860679344,3.64,8.13,14.06,8.85,88,4290,220,1.32,89.66,79.88,2086.07,285.45,9909,2.02,28,76.18,3004,2.182963879824455
2000-10-30,3050.67,3076.86,3112.29,3023.25,461574270,7.33,4.95,11.75,7.53,115,22819,1875,0.8,81.59,116.6,2258.29,236.77,5777,5.6,47,48.28,2874,2.9187031045639142
2000-10-31,2173.96,2213.29,2224.03,2168.16,747310003,6.68,9.95,7.75,4.89,94,7021,706,1.24,100.84,47.76,1293.03,485.08,1556,2.01,30,84.83,1753,2.5699644887670585
2000-11-02,2588.06,2591.61,2601.67,2585.5,589016916,8.92,0.68,12.48,4.83,81,25423,919,1.13,87.15,81.59,1412.02,391.22,2930,8.37,43,96.96,5885,0.6247923154795512
2000-11-05,1455.35,1494.09,1515.01,1419.9299999999998,299851472,-4.78,2.51,11.35,0.72,108,20661,1946,1.06,80.43,80.8,2041.6,407.21,7854,4.82,18,43.87,2075,6.533136358951467
2000-11-06,2380.89,2420.28,2445.71,2377.49,634108113,8.19,3.54,5.79,5.72,60,21807,4692,1.11,146.1,126.6,1262.25,106.48,7488,5.64,10,42.67,10296,2.8653150712548774
2000-11-16,2644.08,2652.06,2676.81,2596.73,441074308,-4.53,7.61,4.73,8.3,115,22747,4539,1.15,114.19,144.18,1305.35,336.8,7452,5.76,7,72.0,925,3.0286526882696414
2000-11-22,4820.24,4828.09,4869.360000000001,4804.55,743816310,-0.89,0.95,12.61,2.03,57,28643,3034,1.24,111.6,103.74,2443.79,296.77,3209,8.8,19,11.77,4013,1.3445388611355535
2000-11-24,1006.26,971.71,1051.41,965.98,286176050,-2.87,9.42,6.51,9.72,64,16185,3085,1.21,118.8,102.44,2487.71,280.46,4860,8.76,7,14.68,3821,8.48985351698369
2000-11-26,1204.54,1205.59,1228.82,1203.16,783834411,3.19,9.85,2.0,9.61,88,9429,939,0.99,147.89,41.56,1585.72,353.18,2184,7.95,36,46.98,14227,2.1302737974662405
2000-11-27,2030.43,2006.31,2067.65,1964.61,930125849,-1.44,0.57,14.11,0.86,78,4219,2610,1.01,124.84,35.63,2093.2,120.89,9030,8.7,31,60.08,1855,5.074787114059593
2000-11-28,1238.1,1219.75,1269.07,1212.74,543439950,5.19,7.18,9.15,9.31,111,23214,3869,1.41,122.22,84.81,2449.26,454.47,3099,8.46,26,95.82,11041,4.549713270333569
2000-12-01,1457.95,1504.61,1543.9,1449.72,89922072,9.22,9.71,9.3,1.03,67,23541,3143,1.03,106.19,148.25,2497.75,391.8,980,4.39,38,21.54,14427,6.459755135635657
2000-12-02,2535.36,2579.83,2602.95,2507.07,371931165,-3.26,1.3,13.14,9.51,112,26509,1731,1.04,116.41,145.8,2346.29,288.74,8050,1.75,5,15.29,14967,3.7817114729269075
2000-12-04,2476.21,2483.3,2507.6200000000003,2467.3,332973047,-0.21,6.91,13.8,3.38,103,18948,4345,1.29,113.31,135.83,2229.19,324.88,9828,4.88,9,22.37,4700,1.6282948538290438
2000-12-06,2675.79,2626.41,2715.04,2606.23,34801400,7.15,9.02,4.22,4.12,103,21067,4590,1.47,148.36,79.03,816.2,174.31,5136,5.92,28,11.54,5587,4.066462614779185
2000-12-09,1320.72,1279.85,1329.71,1260.7,280977258,3.07,3.89,11.09,6.26,81,13869,2681,1.04,90.85,81.4,1474.6,457.03,2294,0.87,14,83.12,1518,5.22518020473681
2000-12-10,2419.09,2385.23,2442.48,2341.65,984297575,-4.11,8.51,14.81,7.35,115,3251,319,1.1,107.53,74.33,851.46,319.82,9177,1.62,1,34.59,4582,4.168096267604757
2000-12-11,4766.9,4812.969999999999,4861.369999999999,4748.74,538674981,3.33,6.37,2.98,1.34,107,28709,3018,1.09,95.78,103.15,1326.18,377.9,8589,2.91,32,20.75,5163,2.362751473704068
2000-12-12,3674.29,3678.04,3715.69,3626.71,495271864,6.87,1.41,7.57,6.46,88,1224,111,1.11,127.32,68.85,1766.15,277.22,6613,6.17,11,95.82,2052,2.4216923541691053
2000-12-14,2447.68,2423.44,2449.32,2416.2000000000003,894455497,-1.02,1.91,10.2,8.91,103,9869,557,0.97,111.06,144.22,2483.62,277.28,7500,7.87,43,80.73,2130,1.353118054647662
2000-12-17,3544.38,3567.7000000000003,3609.2,3524.74,788614726,3.17,0.22,7.91,2.67,63,13857,2073,0.97,135.79,22.0,1072.58,232.18,347,3.82,38,6.91,861,2.3829273384907945
2000-12-19,3450.29,3429.04,3492.91,3415.35,898289634,0.72,5.36,13.92,4.07,84,25970,2295,0.94,147.47,31.96,2398.14,382.63,1505,8.82,44,22.17,6006,2.247926985847565
2000-12-20,4494.79,4498.61,4526.03,4464.91,944054758,5.78,4.82,10.88,3.39,67,19383,4231,0.88,104.58,32.32,1081.17,112.52,7203,9.64,20,30.39,234,1.3597965644668581
2000-12-22,1482.23,1472.79,1498.09,1466.12,199231916,-4.92,2.48,9.9,0.97,101,27550,4837,1.29,121.44,73.21,2315.24,205.3,4873,1.07,15,42.27,2673,2.156885233735657
2000-12-25,3135.87,3171.2,3173.78,3098.31,79191199,5.51,3.58,10.35,8.93,86,13038,3052,0.82,89.11,68.68,2181.67,147.0,2627,1.26,42,24.68,6687,2.406668643789451
2001-01-11,2101.52,2130.92,2150.33,2079.01,955372695,0.9,0.15,6.97,2.54,79,28370,599,1.09,142.57,142.6,868.14,152.25,8938,2.92,9,51.3,10108,3.393734059157168
2001-01-12,2225.25,2232.9,2241.44,2188.03,938275278,9.47,8.98,7.39,9.2,51,1623,4214,1.24,128.24,79.37,1974.75,145.74,7136,6.25,42,87.24,6146,2.400179755083692
2001-01-13,4155.94,4140.15,4167.28,4116.799999999999,632029598,3.58,5.27,6.52,2.3,77,24077,3873,1.16,132.07,92.41,1466.23,436.29,8735,5.94,9,73.28,13585,1.2146469872038692
2001-01-17,4430.25,4430.7,4439.23,4392.48,977994581,5.76,2.59,11.65,9.27,76,15866,2167,1.15,91.72,36.12,2031.5,337.09,9140,3.31,46,80.23,6546,1.0552451893234016
2001-01-23,3404.3,3451.0,3467.66,3363.42,894416003,-4.56,0.79,12.32,9.68,79,7556,4260,0.98,131.66,52.1,1751.16,378.5,2666,9.86,27,3.3,13798,3.0620098111212224
2001-01-24,3822.34,3829.46,3859.21,3772.85,71694394,9.62,7.6,10.19,5.28,104,26556,2646,1.05,133.82,145.26,1336.29,134.25,1430,8.03,23,13.55,5993,2.2593489851766226
2001-01-27,1667.44,1674.36,1678.84,1658.95,756946108,-4.08,6.82,13.79,2.83,95,24955,2782,1.42,148.99,104.76,2397.87,454.61,3853,1.36,17,68.41,13348,1.1928465192150766
2001-01-28,2722.12,2758.92,2806.88,2689.49,867962828,2.83,1.35,9.36,3.71,82,11598,3296,1.01,133.42,97.79,1539.38,440.25,4606,6.53,22,72.39,12501,4.312447651095482
